name,set,number,quantity,legality,image
Drasna,N/A,SUPPORTER,2,LEGALH,DRASNA
Drayton,N/A,SUPPORTER,6,LEGALH,DRAYTON
Emcee's Hype,N/A,SUPPORTER,4,LEGALI,EMCEEHYPE
Eri,N/A,SUPPORTER,1,LEGALH,ERI
Ethan's Adventure,N/A,SUPPORTER,4,LEGALI,ETHANADVENTURE
Explorer's Guidance,N/A,SUPPORTER,4,LEGALH,EXPLORERGUIDE
Fennel,N/A,SUPPORTER,1,LEGALI,FENNEL
Firebreather,N/A,SUPPORTER,5,LEGALI,FIREBREATHER
Friends in Paldea,N/A,SUPPORTER,2,LEGALH,FRIENDSINPALDEA
Geeta,N/A,SUPPORTER,3,LEGALG,GEETA
Giovanni's Charisma,N/A,SUPPORTER,1,LEGALG,GIOCHARISMA
Grimsley's Move,N/A,SUPPORTER,1,LEGALI,GRIMSMOVE
Hilda,N/A,SUPPORTER,2,LEGALI,HILDA
Iono,N/A,SUPPORTER,3,LEGALG,IONO
Iris's Fighting Spirit,N/A,SUPPORTER,7,LEGALI,IRISFIGHTINGSPIRIT
Jacq,N/A,SUPPORTER,1,LEGALG,JACQ
Janine's Secret Art,N/A,SUPPORTER,5,LEGALH,JANINESECRETART
Judge,N/A,SUPPORTER,3,LEGALJ,JUDGE
Kieran,N/A,SUPPORTER,4,LEGALH,KIERAN
Lacey,N/A,SUPPORTER,2,LEGALH,LACEY
Lana's Aid,N/A,SUPPORTER,13,LEGALH,LANAAID
Lt. Surge's Bargain,N/A,SUPPORTER,9,LEGALI,LTSURGEBARGAIN
Lucian,N/A,SUPPORTER,1,LEGALH,LUCIAN
Mela,N/A,SUPPORTER,1,LEGALG,MELA
Morty's Conviction,N/A,SUPPORTER,4,LEGALH,MORTYCONVICTION
Norman,N/A,SUPPORTER,1,LEGALG,NORMAN
N's Plan,N/A,SUPPORTER,1,LEGALI,NSPLAN
Perrin,N/A,SUPPORTER,1,LEGALH,PERRIN
Pokemon Center Lady,N/A,SUPPORTER,4,LEGALI,POKECENTERLADY
Professor's Research,N/A,SUPPORTER,25,LEGALG,PROFSRESEARCH
Professor Sada's Vitality,N/A,SUPPORTER,4,LEGALG,SADASVITALITY
Professor Turo's Scenario,N/A,SUPPORTER,8,LEGALG,TUROSSCENARIO
Raifort,N/A,SUPPORTER,2,LEGALG,RAIFORT
Ruffian,N/A,SUPPORTER,3,LEGALI,RUFFIAN
Shauntal,N/A,SUPPORTER,1,LEGALG,SHAUNTAL
Surfer,N/A,SUPPORTER,4,LEGALH,SURFER
Team Rocket's Archer,N/A,SUPPORTER,6,LEGALI,TEAMRARCHER
Team Rocket's Ariana,N/A,SUPPORTER,2,LEGALI,TEAMRARIANA
Team Rocket's Giovanni,N/A,SUPPORTER,2,LEGALI,TEAMRGIOVANNI
Team Rocket's Petrel,N/A,SUPPORTER,8,LEGALI,TEAMRPETREL
Team Rocket's Proton,N/A,SUPPORTER,2,LEGALI,TEAMRPROTON
Tulip,N/A,SUPPORTER,2,LEGALG,TULIP
Urbain,N/A,SUPPORTER,1,LEGALJ,URBAIN
Waitress,N/A,SUPPORTER,1,LEGALJ,WAITRESS
Wally's Compassion,N/A,SUPPORTER,3,LEGALI,WALLY
Youngster,N/A,SUPPORTER,1,LEGALG,YOUNGSTER
Blowtorch,,ITEM,2,LEGALI,BLOWTORCH
Brilliant Blender,ACE SPEC,ITEM,1,LEGALH,BRILBLENDER
Buddy-Buddy Poffin,,ITEM,9,LEGALH,BUDDYBUDDYPOFFIN
Bug Catching Set,,ITEM,11,LEGALH,BUGCATCHINGSET
Call Bell,,ITEM,1,LEGALH,CALLBELL
Chill Teaser Toy,,ITEM,1,LEGALH,CHILLTTOY
Counter Catcher,,ITEM,1,LEGALG,COUNTERCATCHER
Antique Cover Fossil,,ITEM,3,LEGALH,ACOVERFOSSIL
Deduction Kit,,ITEM,2,LEGALH,DEDUCTIONKIT
Dragon Elixir,,ITEM,1,LEGALH,DRAGONELIXIR
Dusk Ball,,ITEM,3,LEGALH,DUSKBALL
Earthen Vessel,ANCIENT,ITEM,7,LEGALG,EARTHENVESSEL
Energy Recycler,,ITEM,3,LEGALI,ENERGYRECYCLER
Energy Retrieval,,ITEM,1,LEGALI,ENERGYRETRIEVAL
Energy Search,,ITEM,2,LEGALG,ENERGYSEARCH
Energy Switch,,ITEM,3,LEGALI,ENERGYSWITCH
Enhanced Hammer,,ITEM,4,LEGALH,ENHANCEDHAMMER
Fighting Gong,,ITEM,8,LEGALI,FIGHTINGGONG
Glass Trumpet,,ITEM,8,LEGALH,GLASSTRUMPET
Great Ball,,ITEM,1,LEGALG,GREATBALL
Hop's Bag,,ITEM,6,LEGALI,HOPSBAG
Hyper Aroma,ACE SPEC,ITEM,1,LEGALH,HYPERAROMA
Iron Defender,,ITEM,4,LEGALI,IRONDEFENDER
Jumbo Ice Cream,,ITEM,4,LEGALI,JUMBOICECREAM
Letter of Encouragement,,ITEM,1,LEGALG,LETTEROFENCOURAGEMENT
Megatron Blower,ACE SPEC,ITEM,1,LEGALH,MEGATRONBLOWER
Mega Signal,,ITEM,10,LEGALI,MEGASIGNAL
Miracle Headset,ACE SPEC,ITEM,1,LEGALH,MIRACLEHEADSET
Nemona's Backpack,,ITEM,2,LEGALG,NEMONABACKPACK
Nest Ball,,ITEM,6,LEGALG,NESTBALL
Night Stretcher,,ITEM,2,LEGALH,NIGHTSTRETCHER
N's PP Up,COLBI,ITEM,12,LEGALI,NSPPUP
Ogre's Mask,,ITEM,2,LEGALH,OGRESMASK
Pal Pad,,ITEM,1,LEGALG,PALPAD
Picnic Basket,,ITEM,3,LEGALG,PICNICBASKET
Antique Plume Fossil,,ITEM,1,LEGALI,APLUMEFOSSIL
Pokegear 3.0,,ITEM,9,LEGALG,POKEGEAR3
Poke Pad,,ITEM,6,LEGALJ,POKEPAD
Poke Vital A,ACE SPEC,ITEM,1,LEGALH,POKEVITALA
Premium Power Pro,,ITEM,7,LEGALI,PREMIUMPOWERPRO
Prime Catcher,ACE SPEC,ITEM,1,LEGALH,PRIMECATCHER
Rare Candy,,ITEM,7,LEGALI,RARECANDY
Redeemable Ticket,,ITEM,6,LEGALI,REDEEMABLETICKET
Repel,,ITEM,8,LEGALI,REPEL
Roto-Stick,,ITEM,1,LEGALH,ROTOSTICK
Scoop Up Cyclone,ACE SPEC,ITEM,1,LEGALH,SCOOPUPCYCLONE
Snorlax Doll,,ITEM,1,LEGALG,SNORLAXDOLL
Strange Timepiece,,ITEM,10,LEGALI,STRANGETIMEPIECE
Super Potion,,ITEM,4,LEGALI,SUPERPOTION
Super Rod,,ITEM,3,LEGALG,SUPERROD
Switch,,ITEM,11,LEGALI,SWITCH
Team Rocket's Bother-Bot,,ITEM,3,LEGALI,TEAMROCKETBOTHERBOT
Team Rocket's Great Ball,,ITEM,2,LEGALI,TRGREATBALL
Team Rocket's Transceiver,,ITEM,4,LEGALI,TRTRANSCEIVER
Team Rocket's Venture Bomb,,ITEM,4,LEGALI,TRVENTUREBOMB
Techno Radar,,ITEM,6,LEGALG,TECHNORADAR
Tera Orb,,ITEM,6,LEGALH,TERAORB
TM Machine,,ITEM,2,LEGALH,TMMACHINE
Tool Scrapper,,ITEM,4,LEGALI,TOOLSCRAPPER
Treasure Tracker,ACE SPEC,ITEM,1,LEGALH,TREASURETRACKER
Ultra Ball,,ITEM,19,LEGALI,ULTRABALL
Wondrous Patch,,ITEM,5,LEGALI,WONDROUSPATCH
Area Zero Underdepths,,STADIUM,6,LEGALH,AREAZERO
Artazon,,STADIUM,3,LEGALG,ARTAZON
Battle Cage,,STADIUM,1,LEGALI,BATTLECAGE
Beach Court,,STADIUM,1,LEGALG,BEACHCOURT
Calamitous Snowy Mountain,,STADIUM,4,LEGALG,CALAMITOUSSNOWYMOUNT
Community Center,,STADIUM,1,LEGALH,COMMUNITYCENTER
Festival Grounds,,STADIUM,2,LEGALH,FESTIVALGROUNDS
Forest of Vitality,,STADIUM,5,LEGALI,FORESTOFVITALITY
Full Metal Lab,,STADIUM,1,LEGALH,FULLMETALLAB
Grand Tree,ACE SPEC,STADIUM,1,LEGALH,GRANDTREE
Granite Cave,,STADIUM,3,LEGALI,GRANITECAVE
Gravity Mountain,,STADIUM,4,LEGALH,GRAVITYMOUNTAIN
Jamming Tower,,STADIUM,12,LEGALH,JAMMINGTOWER
Levincia,,STADIUM,13,LEGALI,LEVINCIA
Lively Stadium,,STADIUM,2,LEGALH,LIVELYSTADIUM
Moonlit Hill,,STADIUM,1,LEGALG,MOONLITHILL
Mystery Garden,,STADIUM,5,LEGALI,MYSTERYGARDEN
Nighttime Mine,,STADIUM,1,LEGALI,NIGHTTIMEMINE
N's Castle,,STADIUM,2,LEGALI,NSCASTLE
Perilous Jungle,,STADIUM,1,LEGALH,PERILOUSJUNGLE
Pokemon League Headquarters,,STADIUM,2,LEGALG,POKEMONLEAGUEHQ
Postwick,,STADIUM,6,LEGALI,POSTWICK
Practice Studio,,STADIUM,2,LEGALG,PRACTICESTUDIO
Risky Ruins,,STADIUM,5,LEGALI,RISKYRUINS
Spikemuth Gym,,STADIUM,11,LEGALI,SPIKEMUTHGYM
Surfing Beach,,STADIUM,2,LEGALI,SURFINGBEACH
Team Rocket's Factory,,STADIUM,4,LEGALI,TRFACTORY
Team Rocket's Watchtower,,STADIUM,1,LEGALI,TRWATCHTOWER
Town Store,,STADIUM,1,LEGALG,TOWNSTORE
Energy Swatter,N/A,ITEM,1,LEGALJ,energy-swatter-item
Crushing Hammer,N/A,ITEM,1,LEGALJ,crushing-hammer-item
Hole-Digging Shovel,N/A,ITEM,1,LEGALI,hole-digging-shovel-item
Lumiose Galette,N/A,ITEM,2,LEGALJ,lumiose-galette-item
Antique Sail Fossil,N/A,ITEM,3,LEGALJ,antique-sail-fossil-item
Antique Jaw Fossil,N/A,ITEM,5,LEGALJ,antique-jaw-fossil-item
Tarragon,N/A,SUPPORTER,2,LEGALJ,tarragon-supporter
Lillie's Determination,N/A,SUPPORTER,2,LEGALI,lillie's-determination-supporter
Lumiose City,N/A,STADIUM,1,LEGALJ,lumiose-city-stadium
Core Memory,N/A,TOOL,1,LEGALJ,core-memory-tool
Rocky Energy,N/A,ENERGY,4,LEGALJ,rocky-energy-energy
Telepathic Energy,N/A,ENERGY,1,LEGALJ,telepathic-energy-energy
Growing Energy,N/A,ENERGY,1,LEGALJ,growing-energy-energy
Medical Energy,N/A,ENERGY,3,LEGALG,medical-energy-energy
Team Rocket's Energy,N/A,ENERGY,4,LEGALI,team-rocket's-energy-energy
Mist Energy,N/A,ENERGY,4,LEGALH,mist-energy-energy
Spiky Energy,N/A,ENERGY,5,LEGALI,spiky-energy-energy
Jet Energy,N/A,ENERGY,3,LEGALG,jet-energy-energy
Prism Energy,N/A,ENERGY,4,LEGALI,prism-energy-energy
Therapeutic Energy,N/A,ENERGY,2,LEGALG,therapeutic-energy-energy
Reversal Energy,N/A,ENERGY,5,LEGALG,reversal-energy-energy
Luminous Energy,N/A,ENERGY,2,LEGALG,luminous-energy-energy
Ignition Energy,N/A,ENERGY,2,LEGALI,ignition-energy-energy
Boomerang Energy,N/A,ENERGY,1,LEGALH,boomerang-energy-energy
