name,set,number,quantity,legality,image
Firebreather,N/A,SUPPORTER,5,LEGALI,FIREBREATHER
Friends in Paldea,N/A,SUPPORTER,2,LEGALH,FRIENDSINPALDEA
Geeta,N/A,SUPPORTER,3,LEGALG,GEETA
Giovanni's Charisma,N/A,SUPPORTER,1,LEGALG,GIOCHARISMA
Grimsley's Move,N/A,SUPPORTER,2,LEGALI,GRIMSMOVE
Hilda,N/A,SUPPORTER,4,LEGALI,HILDA
Iono,N/A,SUPPORTER,26,LEGALG,IONO
Iris's Fighting Spirit,N/A,SUPPORTER,8,LEGALI,IRISFIGHTINGSPIRIT
Jacq,N/A,SUPPORTER,3,LEGALG,JACQ
Janine's Secret Art,N/A,SUPPORTER,7,LEGALH,JANINESECRETART
Judge,N/A,SUPPORTER,7,LEGALJ,JUDGE
Kieran,N/A,SUPPORTER,6,LEGALH,KIERAN
Lacey,N/A,SUPPORTER,2,LEGALH,LACEY
Lana's Aid,N/A,SUPPORTER,13,LEGALH,LANAAID
Lt. Surge's Bargain,N/A,SUPPORTER,10,LEGALI,LTSURGEBARGAIN
Lucian,N/A,SUPPORTER,1,LEGALH,LUCIAN
Mela,N/A,SUPPORTER,2,LEGALG,MELA
Morty's Conviction,N/A,SUPPORTER,4,LEGALH,MORTYCONVICTION
Norman,N/A,SUPPORTER,2,LEGALG,NORMAN
N's Plan,N/A,SUPPORTER,3,LEGALI,NSPLAN
Perrin,N/A,SUPPORTER,1,LEGALH,PERRIN
Pokemon Center Lady,N/A,SUPPORTER,6,LEGALI,POKECENTERLADY
Professor's Research,N/A,SUPPORTER,32,LEGALG,PROFSRESEARCH
Professor Sada's Vitality,N/A,SUPPORTER,6,LEGALG,SADASVITALITY
Professor Turo's Scenario,N/A,SUPPORTER,13,LEGALG,TUROSSCENARIO
Raifort,N/A,SUPPORTER,2,LEGALG,RAIFORT
Ruffian,N/A,SUPPORTER,3,LEGALI,RUFFIAN
Shauntal,N/A,SUPPORTER,1,LEGALG,SHAUNTAL
Surfer,N/A,SUPPORTER,4,LEGALH,SURFER
Team Rocket's Archer,N/A,SUPPORTER,6,LEGALI,TEAMRARCHER
Team Rocket's Ariana,N/A,SUPPORTER,3,LEGALI,TEAMRARIANA
Team Rocket's Giovanni,N/A,SUPPORTER,2,LEGALI,TEAMRGIOVANNI
Team Rocket's Petrel,N/A,SUPPORTER,5,LEGALI,TEAMRPETREL
Team Rocket's Proton,N/A,SUPPORTER,3,LEGALI,TEAMRPROTON
Tulip,N/A,SUPPORTER,2,LEGALG,TULIP
Urbain,N/A,SUPPORTER,1,LEGALJ,URBAIN
Waitress,N/A,SUPPORTER,1,LEGALJ,WAITRESS
Wally's Compassion,N/A,SUPPORTER,5,LEGALI,WALLY
Youngster,N/A,SUPPORTER,2,LEGALG,YOUNGSTER
Blowtorch,,ITEM,2,LEGALI,BLOWTORCH
Brilliant Blender,ACE SPEC,ITEM,1,LEGALH,BRILBLENDER
Buddy-Buddy Poffin,,ITEM,14,LEGALH,BUDDYBUDDYPOFFIN
Bug Catching Set,,ITEM,11,LEGALH,BUGCATCHINGSET
Call Bell,,ITEM,1,LEGALH,CALLBELL
Chill Teaser Toy,,ITEM,1,LEGALH,CHILLTTOY
Counter Catcher,,ITEM,12,LEGALG,COUNTERCATCHER
Antique Cover Fossil,,ITEM,5,LEGALH,ACOVERFOSSIL
Deduction Kit,,ITEM,2,LEGALH,DEDUCTIONKIT
Dragon Elixir,,ITEM,1,LEGALH,DRAGONELIXIR
Dusk Ball,,ITEM,3,LEGALH,DUSKBALL
Earthen Vessel,ANCIENT,ITEM,15,LEGALG,EARTHENVESSEL
Energy Recycler,,ITEM,4,LEGALI,ENERGYRECYCLER
Energy Retrieval,,ITEM,1,LEGALI,ENERGYRETRIEVAL
Energy Search,,ITEM,8,LEGALG,ENERGYSEARCH
Energy Switch,,ITEM,9,LEGALI,ENERGYSWITCH
Enhanced Hammer,,ITEM,4,LEGALH,ENHANCEDHAMMER
Fighting Gong,,ITEM,9,LEGALI,FIGHTINGGONG
Glass Trumpet,,ITEM,11,LEGALH,GLASSTRUMPET
Great Ball,,ITEM,1,LEGALG,GREATBALL
Hop's Bag,,ITEM,6,LEGALI,HOPSBAG
Hyper Aroma,ACE SPEC,ITEM,1,LEGALH,HYPERAROMA
Iron Defender,,ITEM,6,LEGALI,IRONDEFENDER
Jumbo Ice Cream,,ITEM,5,LEGALI,JUMBOICECREAM
Letter of Encouragement,,ITEM,1,LEGALG,LETTEROFENCOURAGEMENT
Megatron Blower,ACE SPEC,ITEM,1,LEGALH,MEGATRONBLOWER
Mega Signal,,ITEM,11,LEGALI,MEGASIGNAL
Miracle Headset,ACE SPEC,ITEM,1,LEGALH,MIRACLEHEADSET
Nemona's Backpack,,ITEM,2,LEGALG,NEMONABACKPACK
Nest Ball,,ITEM,29,LEGALG,NESTBALL
Night Stretcher,,ITEM,10,LEGALH,NIGHTSTRETCHER
N's PP Up,COLBI,ITEM,12,LEGALI,NSPPUP
Ogre's Mask,,ITEM,2,LEGALH,OGRESMASK
Pal Pad,,ITEM,3,LEGALG,PALPAD
Picnic Basket,,ITEM,4,LEGALG,PICNICBASKET
Antique Plume Fossil,,ITEM,1,LEGALI,APLUMEFOSSIL
Pokegear 3.0,,ITEM,8,LEGALG,POKEGEAR3
Poke Pad,,ITEM,0,LEGALJ,POKEPAD
Poke Vital A,ACE SPEC,ITEM,1,LEGALH,POKEVITALA
Premium Power Pro,,ITEM,9,LEGALI,PREMIUMPOWERPRO
Prime Catcher,ACE SPEC,ITEM,1,LEGALH,PRIMECATCHER
Rare Candy,,ITEM,15,LEGALI,RARECANDY
Redeemable Ticket,,ITEM,6,LEGALI,REDEEMABLETICKET
Repel,,ITEM,8,LEGALI,REPEL
Roto-Stick,,ITEM,4,LEGALH,ROTOSTICK
Scoop Up Cyclone,ACE SPEC,ITEM,1,LEGALH,SCOOPUPCYCLONE
Snorlax Doll,,ITEM,3,LEGALG,SNORLAXDOLL
Strange Timepiece,,ITEM,10,LEGALI,STRANGETIMEPIECE
Super Potion,,ITEM,4,LEGALI,SUPERPOTION
Super Rod,,ITEM,6,LEGALG,SUPERROD
Switch,,ITEM,16,LEGALI,SWITCH
Team Rocket's Bother-Bot,,ITEM,3,LEGALI,TEAMROCKETBOTHERBOT
Team Rocket's Great Ball,,ITEM,2,LEGALI,TRGREATBALL
Team Rocket's Transceiver,,ITEM,4,LEGALI,TRTRANSCEIVER
Team Rocket's Venture Bomb,,ITEM,4,LEGALI,TRVENTUREBOMB
Techno Radar,,ITEM,7,LEGALG,TECHNORADAR
Tera Orb,,ITEM,6,LEGALH,TERAORB
TM Machine,,ITEM,2,LEGALH,TMMACHINE
Tool Scrapper,,ITEM,4,LEGALI,TOOLSCRAPPER
Treasure Tracker,ACE SPEC,ITEM,2,LEGALH,TREASURETRACKER
Ultra Ball,,ITEM,23,LEGALI,ULTRABALL
Wondrous Patch,,ITEM,9,LEGALI,WONDROUSPATCH
Area Zero Underdepths,,STADIUM,10,LEGALH,AREAZERO
Artazon,,STADIUM,11,LEGALG,ARTAZON
Battle Cage,,STADIUM,1,LEGALI,BATTLECAGE
Beach Court,,STADIUM,2,LEGALG,BEACHCOURT
Calamitous Snowy Mountain,,STADIUM,4,LEGALG,CALAMITOUSSNOWYMOUNT
Community Center,,STADIUM,1,LEGALH,COMMUNITYCENTER
Festival Grounds,,STADIUM,2,LEGALH,FESTIVALGROUNDS
Forest of Vitality,,STADIUM,6,LEGALI,FORESTOFVITALITY
Full Metal Lab,,STADIUM,1,LEGALH,FULLMETALLAB
Grand Tree,ACE SPEC,STADIUM,1,LEGALH,GRANDTREE
Granite Cave,,STADIUM,3,LEGALI,GRANITECAVE
Gravity Mountain,,STADIUM,5,LEGALH,GRAVITYMOUNTAIN
Jamming Tower,,STADIUM,13,LEGALH,JAMMINGTOWER
Levincia,,STADIUM,15,LEGALI,LEVINCIA
Lively Stadium,,STADIUM,2,LEGALH,LIVELYSTADIUM
Moonlit Hill,,STADIUM,1,LEGALG,MOONLITHILL
Mystery Garden,,STADIUM,10,LEGALI,MYSTERYGARDEN
Nighttime Mine,,STADIUM,1,LEGALI,NIGHTTIMEMINE
N's Castle,,STADIUM,4,LEGALI,NSCASTLE
Perilous Jungle,,STADIUM,1,LEGALH,PERILOUSJUNGLE
Pokemon League Headquarters,,STADIUM,2,LEGALG,POKEMONLEAGUEHQ
Postwick,,STADIUM,8,LEGALI,POSTWICK
Practice Studio,,STADIUM,2,LEGALG,PRACTICESTUDIO
Risky Ruins,,STADIUM,3,LEGALI,RISKYRUINS
Spikemuth Gym,,STADIUM,11,LEGALI,SPIKEMUTHGYM
Surfing Beach,,STADIUM,2,LEGALI,SURFINGBEACH
Team Rocket's Factory,,STADIUM,4,LEGALI,TRFACTORY
Team Rocket's Watchtower,,STADIUM,1,LEGALI,TRWATCHTOWER
Town Store,,STADIUM,1,LEGALG,TOWNSTORE
Energy Swatter,N/A,ITEM,5,LEGALJ,energy-swatter-item
Crushing Hammer,N/A,ITEM,1,LEGALJ,crushing-hammer-item
Hole-Digging Shovel,N/A,ITEM,5,LEGALI,hole-digging-shovel-item
Lumiose Galette,N/A,ITEM,8,LEGALJ,lumiose-galette-item
Antique Sail Fossil,N/A,ITEM,6,LEGALJ,antique-sail-fossil-item
Antique Jaw Fossil,N/A,ITEM,9,LEGALJ,antique-jaw-fossil-item
Tarragon,N/A,SUPPORTER,8,LEGALJ,tarragon-supporter
Lillie's Determination,N/A,SUPPORTER,14,LEGALI,lillie's-determination-supporter
Lumiose City,N/A,STADIUM,5,LEGALJ,lumiose-city-stadium
Core Memory,N/A,TOOL,8,LEGALJ,core-memory-tool
Rocky Energy,N/A,ENERGY,7,LEGALJ,rocky-energy-energy
Telepathic Energy,N/A,ENERGY,3,LEGALJ,telepathic-energy-energy
Growing Energy,N/A,ENERGY,4,LEGALJ,growing-energy-energy
Medical Energy,N/A,ENERGY,4,LEGALG,medical-energy-energy
Team Rocket's Energy,N/A,ENERGY,4,LEGALI,team-rocket's-energy-energy
Mist Energy,N/A,ENERGY,1,LEGALH,mist-energy-energy
Spiky Energy,N/A,ENERGY,5,LEGALI,spiky-energy-energy
Jet Energy,N/A,ENERGY,4,LEGALG,jet-energy-energy
Prism Energy,N/A,ENERGY,4,LEGALI,prism-energy-energy
Therapeutic Energy,N/A,ENERGY,2,LEGALG,therapeutic-energy-energy
Reversal Energy,N/A,ENERGY,7,LEGALG,reversal-energy-energy
Luminous Energy,N/A,ENERGY,5,LEGALG,luminous-energy-energy
Ignition Energy,N/A,ENERGY,2,LEGALI,ignition-energy-energy
Boomerang Energy,N/A,ENERGY,1,LEGALH,boomerang-energy-energy
Miriam,N/A,SUPPORTER,1,LEGALG,miriam-supporter
Katy,N/A,SUPPORTER,2,LEGALG,katy-supporter
Rosa's Encouragement,N/A,SUPPORTER,4,LEGALJ,rosa's-encouragement-supporter
Nemona,N/A,SUPPORTER,1,LEGALG,nemona-supporter
Jacinthe,N/A,SUPPORTER,5,LEGALJ,jacinthe-supporter
Naveen,N/A,SUPPORTER,3,LEGALJ,naveen-supporter
Mesagoza,N/A,STADIUM,1,LEGALG,mesagoza-stadium
Vitality Band,N/A,TOOL,1,LEGALG,vitality-band-tool
Defiance Band,N/A,TOOL,3,LEGALG,defiance-band-tool
Electric Generator,N/A,ITEM,2,LEGALG,electric-generator-item
Poke Ball,N/A,ITEM,4,LEGALJ,poke-ball-item
Pokemon Catcher,N/A,ITEM,4,LEGALJ,pokemon-catcher-item
Trekking Shoes,N/A,ITEM,1,LEGALF,trekking-shoes-item
Technical Machine: Turbo Energize,TM,TOOL,1,LEGALG,tm-turbo-energize-tool
Cursed Duster,N/A,TOOL,1,LEGALG,cursed-duster-tool
Bravery Charm,N/A,TOOL,2,LEGALG,bravery-charm-tool
Academy at Night,N/A,STADIUM,2,LEGALH,academy-at-night-stadium
Potion,N/A,ITEM,1,LEGALJ,potion-item
Rotom Dex,N/A,ITEM,1,LEGALF,rotom-dex-item
Secret Box,ACE SPEC,ITEM,1,LEGALH,secret-box-item
Roark,N/A,SUPPORTER,1,LEGALG,roark-supporter
Cyrano,N/A,SUPPORTER,2,LEGALH,cyrano-supporter
Cassiopeia,N/A,SUPPORTER,2,LEGALH,cassiopeia-supporter
Hassel,N/A,SUPPORTER,6,LEGALH,hassel-supporter
Xerosic's Machinations,N/A,SUPPORTER,1,LEGALH,xerosic's-machinations-supporter
Neo Upper Energy,ACE SPEC,ENERGY,1,LEGALH,neo-upper-energy-energy
Larry's Skill,N/A,SUPPORTER,1,LEGALH,larry's-skill-supporter
Ange Floette,N/A,STADIUM,1,LEGALJ,ange-floette-stadium
Prism Tower,N/A,STADIUM,4,LEGALJ,prism-tower-stadium
Nitro Energy,N/A,ENERGY,2,LEGALJ,nitro-energy-energy
Adversity Policy,N/A,TOOL,1,LEGALI,adversity-policy-tool
Great Haul Net,N/A,ITEM,4,LEGALJ,great-haul-net-tool
Special Red Card,N/A,ITEM,3,LEGALJ,special-red-card-tool
AZ's Tranquility,N/A,SUPPORTER,1,LEGALJ,az's-tranquility-supporter
Emma,N/A,SUPPORTER,3,LEGALJ,emma-supporter
Philippe,N/A,SUPPORTER,2,LEGALJ,philippe-supporter
Roxie's Performance,N/A,SUPPORTER,1,LEGALJ,roxie's-performance-supporter
